iter	MAE
0	0.4090303202
1	0.402296242
2	0.3953507892
3	0.3888276342
4	0.381432286
5	0.3744441558
6	0.3695085143
7	0.3641098806
8	0.3584625293
9	0.3533129166
10	0.3479640057
11	0.3426712034
12	0.3368655904
13	0.3321395173
14	0.327343227
15	0.3217555663
16	0.316408596
17	0.3124811529
18	0.3081848817
19	0.3043635512
20	0.300436638
21	0.2961526374
22	0.292152287
23	0.2888873711
24	0.2846852738
25	0.2820282975
26	0.2784258712
27	0.2757130108
28	0.2722657448
29	0.2682637465
30	0.2659332017
31	0.2630607914
32	0.2601275542
33	0.2583315308
34	0.2557018122
35	0.2524870591
36	0.2496619174
37	0.2467397339
38	0.2439710006
39	0.2413434848
40	0.2389753363
41	0.2360630913
42	0.2331631093
43	0.2304591472
44	0.2283232154
45	0.226497018
46	0.2241873963
47	0.2219895117
48	0.2192539084
49	0.2174578922
50	0.2148539334
51	0.2132718543
52	0.2107562105
53	0.2088191852
54	0.2073844983
55	0.2055505601
56	0.2039634704
57	0.2021416276
58	0.2001475378
59	0.1976317846
60	0.1952442949
61	0.1935108168
62	0.192435754
63	0.1901661935
64	0.1887621919
65	0.1873329337
66	0.1853079885
67	0.1840132781
68	0.1825999791
69	0.1806637974
70	0.1785992571
71	0.1771867188
72	0.1752908331
73	0.1734710375
74	0.1719458968
75	0.1698305145
76	0.1681532794
77	0.1671387366
78	0.1653627131
79	0.1639328819
80	0.1628235363
81	0.1612287906
82	0.1598550911
83	0.1580529373
84	0.1561540553
85	0.1549100861
86	0.1534245472
87	0.1518976877
88	0.1511658671
89	0.150455562
90	0.1495973408
91	0.1483133249
92	0.1474456904
93	0.1460002898
94	0.144714154
95	0.1433852837
96	0.1423598585
97	0.1408992418
98	0.1397437487
99	0.1389861823
100	0.1377647796
101	0.1363759454
102	0.1351991711
103	0.1341626256
104	0.133236918
105	0.1318591191
106	0.1310607688
107	0.1303261825
108	0.1289673294
109	0.128066101
110	0.1270069458
111	0.1265072202
112	0.1252437892
113	0.124370953
114	0.1228295899
115	0.1217648144
116	0.1208898073
117	0.1202190376
118	0.1193563384
119	0.1184010408
120	0.117238414
121	0.1162276836
122	0.1153171561
123	0.1143706784
124	0.1134912195
125	0.1128263311
126	0.1116802018
127	0.1107897241
128	0.1099211496
129	0.1093665205
130	0.1081530669
131	0.1071724172
132	0.1063541451
133	0.1054570334
134	0.1048579847
135	0.1039090069
136	0.1031008896
137	0.1024110764
138	0.1015833545
139	0.1007305767
140	0.09984124433
141	0.09898557451
142	0.09822941189
143	0.09780421967
144	0.0972324288
145	0.09703177596
146	0.09643789738
147	0.09607981879
148	0.09533108722
149	0.09473829028
150	0.09416906564
151	0.09365874682
152	0.09284673824
153	0.09235194879
154	0.09141420714
155	0.09078507908
156	0.0902118142
157	0.08975811102
158	0.08885217913
159	0.08804189326
160	0.08743007535
161	0.08690941881
162	0.08624241154
163	0.08597352636
164	0.08538045731
165	0.08473281218
166	0.08420765172
167	0.08371632591
168	0.08296037007
169	0.08224037312
170	0.08143933352
171	0.08111496016
172	0.08077115593
173	0.08051682671
174	0.07992961819
175	0.07948038827
176	0.07911242338
177	0.07844412676
178	0.07777383407
179	0.07717113909
180	0.07688864579
181	0.07644523984
182	0.07614576723
183	0.07550335027
184	0.07532077547
185	0.07475240976
186	0.07406431486
187	0.07321207763
188	0.07289961066
189	0.07247186537
190	0.07215297744
191	0.07152471868
192	0.0708557231
193	0.07049305614
194	0.06992960071
195	0.06963327406
196	0.06881085533
197	0.06840216479
198	0.06787280246
199	0.0676961211
200	0.06713227036
201	0.06676030507
202	0.06611018905
203	0.06572725247
204	0.06537423252
205	0.06492089319
206	0.06445977495
207	0.06389374638
208	0.06352436803
209	0.06329868761
210	0.06305796697
211	0.06280475163
212	0.06247590277
213	0.06223982333
214	0.06197393659
215	0.06134378727
216	0.06111878871
217	0.06063384678
218	0.06015049171
219	0.05991772671
220	0.05969784989
221	0.05940559799
222	0.05891209897
223	0.05855895044
224	0.05814695103
225	0.0577713213
226	0.05749888893
227	0.05690148511
228	0.05660143309
229	0.05649500013
230	0.05635677023
231	0.05591798905
232	0.05544756669
233	0.0552008071
234	0.05496617027
235	0.05479978193
236	0.05431352418
237	0.05394096021
238	0.05353066454
239	0.05298687875
240	0.05252272875
241	0.05226911507
242	0.05195546193
243	0.05178221314
244	0.05123695901
245	0.05061444887
246	0.05043415747
247	0.05016539518
248	0.04990661562
249	0.04966226558
250	0.0494149548
251	0.04928135817
252	0.04908411577
253	0.04873689182
254	0.04851176585
255	0.04817218197
256	0.04792445865
257	0.04766552111
258	0.04755010858
259	0.04718262487
260	0.04698522132
261	0.04662388564
262	0.04634711608
263	0.04609177768
264	0.04592775098
265	0.04580792265
266	0.04558075744
267	0.04523360609
268	0.045134422
269	0.04484160524
270	0.04464651115
271	0.04443151273
272	0.04418727257
273	0.04390124857
274	0.04362774673
275	0.04331282875
276	0.04313422038
277	0.04285666203
278	0.04259591814
279	0.04238353701
280	0.04195124836
281	0.04181965621
282	0.04146110594
283	0.0412975799
284	0.04110512665
285	0.04083746056
286	0.04050803328
287	0.04043404858
288	0.04013451216
289	0.03980735385
290	0.03963285134
291	0.03947149142
292	0.03901067471
293	0.03855917051
294	0.03819307186
295	0.03806526559
296	0.0378217589
297	0.0374804713
298	0.03730876509
299	0.03697821575
300	0.03666901585
301	0.03644927719
302	0.0362916165
303	0.0360852104
304	0.03596610918
